Company	Ticker	Year	Quarter	Rater	Type	Sentiment Score	Decision	Time	Prior Close	Next Day Open	Actual % Change	Actual Direction	Prediction Correct	Position	Net P&L	Notes
Target		2025	Q1	Ben/DeepSeek	LLM	-0.43	SELL		89.11	88.31						Tone: cautious. Risks: Declining consumer confidence (five consecutive months of decline); Uncertainty regarding potential tariffs and their impact. [Micro=-0.50; Blend=-0.43] [news]
Target		2026	Q1	Ben/DeepSeek	LLM	0.20	HOLD		122.33	120.83						Tone: mixed. Risks: Uncertain operating environment with consumers weighing multiple headwinds and tailwi; Tougher prior-year comparisons in Q2, including the launch of Nintendo Switch 2 last. [Micro=0.30; Blend=0.20] [news]
Target		2025	Q2	Ben/DeepSeek	LLM	-0.02	HOLD		95.58	95.38						Tone: mixed. Risks: Tariff-related pressures including purchase order cancellation costs and higher produ; Continued uncertainty and volatility in the tariff environment.. [Micro=0.00; Blend=-0.02] [news]
Target		2025	Q3	Ben/DeepSeek	LLM	-0.45	SELL		84.42	84.49						Tone: cautious. Risks: Continued softness in discretionary categories like Home and Apparel; Consumer sentiment at a three-year low amid concerns about jobs, affordability, and t. [Micro=-0.50; Blend=-0.45] [news]
Barclays		2026	Q1	Ben/DeepSeek	LLM	0.12	HOLD		23.00	23.10						Tone: confident. Risks: Geopolitical uncertainty and trade tensions (tariffs) leading to potential credit det; Higher-than-expected Group loan loss rate in FY26, expected to be around the top of t. [Micro=0.15; Blend=0.12] [news]
Barclays		2025	Q2	Ben/DeepSeek	LLM	0.20	HOLD		19.65	19.56						Tone: confident. Risks: Delay in implementation of the US card model (IRB) impacting Pillar 2A and capital pl; Uncertainty around Pillar 2A in UK Basel 3.1 implementation. [Micro=0.25; Blend=0.20] [news]
Barclays		2025	Q3	Ben/DeepSeek	LLM	0.28	BUY		20.11	20.50						Tone: confident. Risks: Motor finance redress: a £235m charge in Q325 increased the total provision to £325m,; Credit impairment charges increased to £0.6bn in Q325 (Q324: £0.4bn), including a c.£. [Micro=0.35; Blend=0.28] [news]
Ford		2026	Q1	Ben/DeepSeek	LLM	0.34	BUY		12.09	11.41						Tone: confident. Risks: Commodity headwinds of about $2 billion, $1 billion higher than previous estimate, la; Potential impacts of a sustained conflict in the Middle East or a significant downtur. [Micro=0.50; Blend=0.34] [news]
Ford		2025	Q2	Ben/DeepSeek	LLM	-0.27	SELL		10.36	10.26						Tone: mixed. Risks: Net tariff headwind of about $2 billion for full year 2025.; Ongoing recall costs, particularly for older vehicles, with FSA costs having a longer. [Micro=-0.30; Blend=-0.27] [news]
Ford		2025	Q4	Ben/DeepSeek	LLM	0.21	HOLD		13.26	13.31						Tone: confident. Risks: Novelis supply disruption: $1.5B-$2B in temporary costs in 2026 to ensure aluminum su; Tariff exposure: $2 billion net tariff impact in 2025, with a $1 billion higher-than-. [Micro=0.30; Blend=0.21] [news]
Microsoft		2025	Q1	Ben/DeepSeek	LLM	0.17	HOLD		426.61	409.67						Tone: confident. Risks: Scaling AI infrastructure is driving gross margin percentage declines.; Supply constraints: third-party deliveries pushing AI capacity into H2, limiting Q2 A. [Micro=0.25; Blend=0.17] [news]
Microsoft		2026	Q1	Ben/DeepSeek	LLM	0.21	HOLD		538.14	527.14						Tone: confident. Risks: Azure capacity constraints through at least the end of the fiscal year, with demand e; Cloud gross margin compression due to AI investments and mix shift to Azure.. [Micro=0.30; Blend=0.21] [news]
Microsoft		2025	Q2	Ben/DeepSeek	LLM	0.21	HOLD		437.14	413.86						Tone: confident. Risks: Go-to-market execution challenges in non-AI Azure services, particularly with custome; AI capacity constraints expected to continue through Q3, with balance expected by end. [Micro=0.30; Blend=0.21] [news]
Pfizer		2025	Q1	Ben/DeepSeek	LLM	0.05	HOLD		21.14	20.94						Tone: confident. Risks: Potential impact of future tariffs and trade policy changes, which are excluded from; Impact of competition on Vyndaqel family with a new market entrant, anticipated to co. [Micro=0.10; Blend=0.05] [news]
Pfizer		2026	Q1	Ben/DeepSeek	LLM	0.13	HOLD		25.87	26.16						Tone: confident. Risks: Near-term LOE headwinds from 2026 through 2028, with approximately $14-15 billion in; Sustained low disease levels of COVID likely to continue weighing on Paxlovid utiliza. [Micro=0.20; Blend=0.13] [news]
Pfizer		2025	Q2	Ben/DeepSeek	LLM	0.20	HOLD		22.37	23.08						Tone: confident. Risks: Uncertainty around COVID product demand in H2 2025 (guidance partially derisks COVID; Impact of IRA Medicare Part D redesign ($825 million unfavorable year-over-year impac. [Micro=0.30; Blend=0.20] [news]
Pfizer		2025	Q4	Ben/DeepSeek	LLM	0.00	HOLD		26.23	24.95						Tone: confident. Risks: Loss of exclusivity (LOE) headwinds from 2026 to 2028, with ~$1.5 billion revenue com; COVID-19 product revenues expected to trend lower again in 2026 to approximately $5 b. [Micro=0.00; Blend=0.00] [news]
United Airlines		2025	Q1	Ben/DeepSeek	LLM	-0.35	SELL		67.00	69.64						Tone: cautious. Risks: Softer macroeconomic environment driving volatility and softer demand for travel.; Reasonable chance that bookings could weaken further, potentially leading to a recess. [Micro=-0.50; Blend=-0.35] [news]
United Airlines		2025	Q2	Ben/DeepSeek	LLM	0.28	BUY		88.47	91.89						Tone: confident. Risks: Newark Airport event (FAA technology outages, runway construction) impacted Q2 margin; Geopolitical and macroeconomic uncertainty, though noted as decreasing, remains a ris. [Micro=0.30; Blend=0.28] [news]
United Airlines		2025	Q3	Ben/DeepSeek	LLM	0.27	BUY		104.05	102.94						Tone: confident. Risks: Latin America results were disappointing with elevated year-to-year capacity expected; Ongoing negotiations with the Association of Flight Attendants (AFA) for a new contra. [Micro=0.30; Blend=0.27] [news]
United Airlines		2025	Q4	Ben/DeepSeek	LLM	0.18	HOLD		108.57	111.95						Tone: confident. Risks: $250 million impact on pre-tax earnings from the government shutdown; Main cabin revenues showing weakness with standard and basic economy revenues down ap. [Micro=0.30; Blend=0.18] [news]
PepsiCo		2023	Q1	Ben/DeepSeek	LLM	0.37	BUY		169.67	168.57						Tone: confident. Risks: Uncertainty about consumer trajectory in the second half of 2023; Geopolitical risks that could impact the business. [Micro=0.50; Blend=0.37] [news]
PepsiCo		2024	Q1	Ben/DeepSeek	LLM	0.04	HOLD		157.67	155.16						Tone: confident. Risks: Product recall at Quaker Foods North America (voluntary recall of certain bars and ce; Foreign exchange translation headwind of approximately 1 percentage point on reported. [Micro=0.00; Blend=0.04] [news]
PepsiCo		2025	Q1	Ben/DeepSeek	LLM	-0.52	SELL		128.74	128.90						Tone: cautious. Risks: Higher supply chain costs related to tariffs; Elevated macroeconomic volatility. [Micro=-0.50; Blend=-0.52] [news]
PepsiCo		2026	Q1	Ben/DeepSeek	LLM	0.16	HOLD		156.73	156.61						Tone: confident. Risks: Inflation: CFO Stephen Schmitt stated 'our assumption is that inflation will come. Th; Geopolitical uncertainty: The Iran conflict is noted as a potential risk, though no i. [Micro=0.15; Blend=0.16] [news]
PepsiCo		2023	Q2	Ben/DeepSeek	LLM	0.38	BUY		168.89	169.19						Tone: confident. Risks: Foreign exchange translation headwind of approximately 2 percentage points on reporte; Uncertainty related to the deadly conflict in Ukraine and its impact on the business.. [Micro=0.50; Blend=0.38] [news]
PepsiCo		2024	Q2	Ben/DeepSeek	LLM	-0.37	SELL		152.16	153.10						Tone: cautious. Risks: Subdued category performance within North America convenient foods; Product recall at Quaker Foods North America impacting net revenue and volume. [Micro=-0.50; Blend=-0.37] [news]
PepsiCo		2025	Q2	Ben/DeepSeek	LLM	0.18	HOLD		139.90	140.69						Tone: confident. Risks: Impairment charges of $1.86 billion related to Rockstar and Be & Cheery brands.; Foreign exchange translation headwind of approximately 1.5 percentage points on net r. [Micro=0.20; Blend=0.18] [news]
PepsiCo		2026	Q2	Ben/DeepSeek	LLM	-0.06	HOLD		137.86	135.86						Tone: cautious. Risks: High fuel prices impacting convenience store traffic and conversion of store traffic; More pressure on the business from a commodity standpoint in the second half, particu. [Micro=-0.15; Blend=-0.06] [news]
PepsiCo		2023	Q3	Ben/DeepSeek	LLM	0.46	BUY		149.10	149.66						Tone: confident. Risks: Foreign exchange translation headwind of approximately 2 percentage points on reporte; Continued elevated inflation, with pricing expected to be roughly in line with inflat. [Micro=0.50; Blend=0.46] [news]
PepsiCo		2024	Q3	Ben/DeepSeek	LLM	-0.35	SELL		159.37	158.40						Tone: cautious. Risks: Subdued category performance trends in North America; Continued impacts related to certain recalls at Quaker Foods North America. [Micro=-0.50; Blend=-0.35] [news]
PepsiCo		2025	Q3	Ben/DeepSeek	LLM	0.19	HOLD		140.56	141.45						Tone: optimistic. Risks: Consumer stress globally, with 'the consumer making very choiceful decisions' and aff; Competitive pressures in India's beverage segment expected to impact growth 'for a fe. [Micro=0.20; Blend=0.19] [news]
PepsiCo		2023	Q4	Ben/DeepSeek	LLM	-0.42	SELL		153.23	153.40						Tone: cautious. Risks: Quaker Foods North America voluntary recall of certain bars and cereals, expected to; Slowdown in the U.S. food and beverage categories in Q4, partly due to pricing and di. [Micro=-0.50; Blend=-0.42] [news]
PepsiCo		2024	Q4	Ben/DeepSeek	LLM	-0.18	HOLD		135.33	135.24						Tone: cautious. Risks: Subdued category performance trends in North America; Continued impacts from Quaker Foods North America recall. [Micro=-0.10; Blend=-0.18] [news]
PepsiCo		2025	Q4	Ben/DeepSeek	LLM	0.16	HOLD		159.73	161.73						Tone: confident. Risks: Consumer affordability dynamics, particularly for low- and middle-income consumers in; Foreign exchange translation impact (2% on Q4 net revenue, 5% on Q4 EPS).. [Micro=0.15; Blend=0.16] [news]
FedEx		2026	Q1	Ben/DeepSeek	LLM	-0.05	HOLD		180.17	181.61						Tone: confident. Risks: $1 billion headwind from the global trade environment, primarily due to reduced inter; $160 million headwind from the expiration of the U.S. Postal Service contract.. [Micro=-0.10; Blend=-0.05] [news]
FedEx		2026	Q2	Ben/DeepSeek	LLM	0.31	BUY		229.57	217.52						Tone: confident. Risks: MD-11 fleet grounding: $25M impact in Q2, ~$150M-$175M expected in Q3, return to serv; Global trade policy changes: $1B headwind to adjusted operating profit for FY2026.. [Micro=0.35; Blend=0.31] [news]
FedEx		2026	Q3	Ben/DeepSeek	LLM	0.40	BUY		285.88	305.72						Tone: confident. Risks: Global trade policy changes and their financial impacts.; Grounding of the MD-11 fleet, which created a $120 million adjusted operating income. [Micro=0.55; Blend=0.40] [news]
FedEx		2026	Q4	Ben/DeepSeek	LLM	0.22	HOLD		317.24	314.77						Tone: confident. Risks: Global trade policy changes and uncertainty in the global trade environment.; Higher purchased transportation and wage rates.. [Micro=0.35; Blend=0.22] [news]
Lockheed Martin		2025	Q1	Ben/DeepSeek	LLM	0.17	HOLD		446.87	451.62						Tone: confident. Risks: Evolving impacts of tariffs and related recoveries are not included in the 2025 outlo; Next Generation Air Dominance (NGAD) program announcement is not included in the 2025. [Micro=0.15; Blend=0.17] [news]
Lockheed Martin		2025	Q2	Ben/DeepSeek	LLM	-0.35	SELL		399.95	402.89						Tone: mixed. Risks: Aeronautics classified program: $950M reach-forward loss due to design, integration,; Canadian Maritime Helicopter Program (CMHP): $570M loss due to revised cost and sales. [Micro=-0.50; Blend=-0.35] [news]
Lockheed Martin		2025	Q3	Ben/DeepSeek	LLM	0.47	BUY		480.12	482.05						Tone: confident. Risks: Potential impacts of government shutdown or Executive Orders (excluded from outlook).; Uncertainty around tariffs and their impact on contracts.. [Micro=0.55; Blend=0.47] [news]
Lockheed Martin		2025	Q4	Ben/DeepSeek	LLM	0.49	BUY		615.22	613.73						Tone: confident. Risks: Risk remains on Aeronautics classified programs: 'risk is gonna remain over the next; Earnings per share declined 4% year-over-year in 2025 due to increased interest expen. [Micro=0.55; Blend=0.49] [news]
Novo Nordisk		2025	Q1	Ben/DeepSeek	LLM	-0.33	SELL		64.43	62.87						Tone: mixed. Risks: Lower-than-planned penetration of branded GLP-1 treatments in the US, impacted by com; Periodic supply constraints and related drug shortage notifications for certain produ. [Micro=-0.50; Blend=-0.33] [news]
Novo Nordisk		2025	Q2	Ben/DeepSeek	LLM	-0.33	SELL		43.29	46.23						Tone: cautious. Risks: Persistent use of compounded GLP-1s in the US impacting Wegovy uptake.; Slower-than-expected market expansion and competition.. [Micro=-0.50; Blend=-0.33] [news]
Novo Nordisk		2025	Q3	Ben/DeepSeek	LLM	-0.35	SELL		46.75	46.06						Tone: cautious. Risks: Lowered growth expectations for GLP-1 treatments in diabetes and obesity.; Intensifying competition in both diabetes and obesity markets.. [Micro=-0.50; Blend=-0.35] [news]
Novo Nordisk		2025	Q4	Ben/DeepSeek	LLM	-0.36	SELL		48.52	46.25						Tone: cautious. Risks: Lower realised prices including impacts related to the 'Most Favoured Nations' agreem; Patent expiry of the semaglutide molecule in certain International Operations markets. [Micro=-0.50; Blend=-0.36] [news]
Hilton		2025	Q1	Ben/DeepSeek	LLM	-0.38	SELL		225.81	222.45						Tone: cautious. Risks: Broader macro uncertainty intensified in March, pressuring demand, particularly acros; Weaker trends have continued into the second quarter, with short-term bookings roughl. [Micro=-0.50; Blend=-0.38] [news]
Hilton		2026	Q1	Ben/DeepSeek	LLM	0.34	BUY		323.21	321.40						Tone: confident. Risks: Middle East conflict causing travel disruptions, with full-year 2026 Middle East & Af; Potential knock-on effects of the Middle East conflict on other regions, including In. [Micro=0.50; Blend=0.34] [news]
Hilton		2025	Q2	Ben/DeepSeek	LLM	0.15	HOLD		266.30	265.89						Tone: optimistic. Risks: System-wide comparable RevPAR declined 0.5% in Q2 2025, driven by softer trends in th; U.S. comparable RevPAR decreased 1.5% due to pressure across business transient and g. [Micro=0.15; Blend=0.15] [news]
Hilton		2024	Q3	Ben/DeepSeek	LLM	0.14	HOLD		232.61	232.21						Tone: confident. Risks: Slower top line growth due to modestly slower macro trends, weather impacts, and unfa; Ongoing labor disputes in the U.S. affecting RevPAR.. [Micro=0.20; Blend=0.14] [news]
Hilton		2025	Q4	Ben/DeepSeek	LLM	0.20	HOLD		324.83	325.21						Tone: optimistic. Risks: U.S. RevPAR declined 1% in Q4 due to business transient and group weakness from the g; China RevPAR declined 1.4% in Q4 due to continued weakness in group demand tied to go. [Micro=0.30; Blend=0.20] [news]
LVMH		2025	Q2	Ben/DeepSeek	LLM	-0.19	HOLD		458.75	453.58						Tone: mixed. Risks: Disrupted geopolitical and economic environment; Trade tensions weighing on key markets of the United States and China. [Micro=-0.15; Blend=-0.19] [news]
LVMH		2025	Q4	Ben/DeepSeek	LLM	0.05	HOLD		579.84	547.08						Tone: mixed. Risks: Geopolitical and macroeconomic uncertainty: 'a disrupted geopolitical and economic en; Currency fluctuations: 'Profit from recurring operations... affected by currency fluc. [Micro=0.00; Blend=0.05] [news]
Marriott		2026	Q1	Ben/DeepSeek	LLM	0.47	BUY		358.35	357.30						Tone: confident. Risks: Middle East conflict causing significant RevPAR declines (over 30% decline in March,; APAC near-term RevPAR outlook lowered due to softer long-haul demand and connectivity. [Micro=0.55; Blend=0.47] [news]
Marriott		2025	Q2	Ben/DeepSeek	LLM	-0.27	SELL		257.44	257.02						Tone: mixed. Risks: Heightened macro-economic uncertainty; Decline in U.S. & Canada select service demand due to reduced government travel and w. [Micro=-0.30; Blend=-0.27] [news]
Marriott		2025	Q3	Ben/DeepSeek	LLM	0.16	HOLD		270.54	272.04						Tone: optimistic. Risks: Ongoing global macroeconomic uncertainty impacting RevPAR growth.; Weaker demand in lower chain scales in the U.S. & Canada, partly due to reduced gover. [Micro=0.20; Blend=0.16] [news]
Marriott		2025	Q4	Ben/DeepSeek	LLM	0.31	BUY		357.95	357.23						Tone: optimistic. Risks: U.S. & Canada RevPAR declined 0.1% in Q4 2025, impacted by the extended government sh; Government RevPAR was down over 30% during the 43-day U.S. Government shutdown, moder. [Micro=0.35; Blend=0.31] [news]
