Company	Ticker	Year	Quarter	Rater	Type (Human/LM)	Sentiment Score (-1 to +1)	Decision (BUY/HOLD/SELL)	Time (mins)	Prior Close ($)	Next Day Open ($)	Actual % Change	Actual Direction	Prediction Correct?	Notes / Risks Flagged
Disney	DIS	2023	Q3	Ben/DeepSeek	LM	0.25	HOLD		$84.83	$87.23				Tone: confident. Risks: Linear Networks advertising continues to see impacts from market softness; entertainm; Domestic parks demand moderation: Walt Disney World softer performance coming off 50t. [Micro=0.25; Blend=0.25]
Disney	DIS	2024	Q3	Ben/DeepSeek	LM	0.25	HOLD		$84.00	$83.21				Tone: confident. Risks: Moderation of consumer demand at Experiences segment towards the end of Q3 that excee; Q4 Experiences segment operating income expected to decline by mid single digits vers. [Micro=0.25; Blend=0.25]
Disney	DIS	2025	Q3	Ben/DeepSeek	LM	0.25	HOLD		$113.53	$114.10				Tone: confident. Risks: China per-capita consumer stress affecting Experiences segment.; Tough comp from Inside Out 2 in Q4 fiscal 2025 for Content segment.. [Micro=0.25; Blend=0.25] [news]
Disney	DIS	2021	Q4	Ben/DeepSeek	LM	0.25	HOLD		$169.14	$157.93				Tone: confident. Risks: COVID-19 and its variants continue to impact operations, with parks operating at redu; Theatrical releases and content production remain subject to delays and capacity limi. [Micro=0.25; Blend=0.25]
Disney	DIS	2022	Q4	Ben/DeepSeek	LM	0.25	HOLD		$96.86	$87.79				Tone: confident. Risks: Meaningful shift in economic climate could impact Disney+ profitability target; Shanghai Disney Resort currently closed with no visibility to reopening date. [Micro=0.25; Blend=0.25]
Disney	DIS	2023	Q4	Ben/DeepSeek	LM	0.30	BUY		$81.93	$85.17				Tone: confident. Risks: Streaming profitability progress may not look linear from quarter to quarter.; Walt Disney World facing tough comparisons to prior year from 50th anniversary celebr. [Micro=0.30; Blend=0.30]
Disney	DIS	2024	Q4	Ben/DeepSeek	LM	0.30	BUY		$106.63	$107.74				Tone: confident. Risks: Linear Networks revenue and operating income continue to decline (Q4 revenue -6%, ope; Experiences segment operating income declined 6% in Q4, with International Parks & Ex. [Micro=0.30; Blend=0.30]
Disney	DIS	2025	Q4	Ben/DeepSeek	LM	0.26	BUY		$106.07	$105.99				Tone: confident. Risks: Ongoing carriage dispute with YouTube TV — management notes the deal proposed is 'equ; Forward-looking statements are subject to risks including economic, geopolitical, ope. [Micro=0.30; Blend=0.26] [news]
Target	TGT	2021	Q1	Ben/DeepSeek	LM	0.30	BUY		$188.21	$187.59				Tone: confident. Risks: Forward-looking statements are subject to risks and uncertainties which could cause t. [Micro=0.30; Blend=0.30]
Target	TGT	2022	Q1	Ben/DeepSeek	LM	-0.50	SELL		$141.02	$140.73				Tone: cautious. Risks: Higher markdown rates driven by inventory impairments and actions to address lower-th; Higher freight and transportation costs. [Micro=-0.50; Blend=-0.50]
Target	TGT	2023	Q1	Ben/DeepSeek	LM	-0.50	SELL		$144.08	$144.00				Tone: cautious. Risks: Inventory shrink is expected to reduce full-year profitability by more than $500 mill; Softening sales trends in discretionary categories, with further softening in March a. [Micro=-0.50; Blend=-0.50]
Target	TGT	2024	Q1	Ben/DeepSeek	LM	0.15	HOLD		$132.56	$131.85				Tone: confident. Risks: Comparable sales declined 3.7 percent, driven by continued softness in discretionary; Consumers remain cautious due to elevated prices, higher interest rates, and economic. [Micro=0.15; Blend=0.15]
Target	TGT	2025	Q1	Ben/DeepSeek	LM	-0.36	SELL		$89.11	$88.31				Tone: cautious. Risks: Low-single digit decline in sales expected for the full year.; Uncertainty regarding the impact of potential tariffs.. [Micro=-0.50; Blend=-0.36] [news]
Target	TGT	2026	Q1	Ben/DeepSeek	LM	0.26	BUY		$122.33	$120.83				Tone: mixed. Risks: Uncertain operating environment with consumers weighing multiple headwinds and tailwi; Higher product costs partially offset gross margin improvement.. [Micro=0.30; Blend=0.26] [news]
Target	TGT	2021	Q2	Ben/DeepSeek	LM	0.30	BUY		$213.50	$210.87				Tone: confident. Risks: Higher merchandise and freight costs pressuring gross margin rate.; Comparison over last year's change in the sales return reserve estimate.. [Micro=0.30; Blend=0.30]
Target	TGT	2022	Q2	Ben/DeepSeek	LM	-0.50	SELL		$153.96	$152.77				Tone: cautious. Risks: Higher markdown rates driven primarily by inventory impairments and actions to addres; Higher merchandise, inventory shrink, and freight costs.. [Micro=-0.50; Blend=-0.50]
Target	TGT	2023	Q2	Ben/DeepSeek	LM	-0.50	SELL		$116.24	$116.05				Tone: cautious. Risks: Softer-than-expected sales trends, with comparable sales declining 5.4%.; Higher inventory shrink, which drove a 90 basis point headwind to gross margin rate i. [Micro=-0.50; Blend=-0.50]
Target	TGT	2024	Q2	Ben/DeepSeek	LM	0.30	BUY		$148.50	$149.10				Tone: confident. Risks: Consumer uncertainty and focus on value, with consumers making trade-offs in spending; Higher promotional markdown rates.. [Micro=0.30; Blend=0.30]
Target	TGT	2025	Q2	Ben/DeepSeek	LM	-0.05	HOLD		$95.58	$95.38				Tone: mixed. Risks: Tariff-related cost pressures throughout the business.; Higher markdown rates, purchase order cancellation costs, and pressure from category. [Micro=0.00; Blend=-0.05] [news]
Target	TGT	2021	Q3	Ben/DeepSeek	LM	0.25	HOLD		$219.61	$221.59				Tone: confident. Risks: Higher merchandise and freight costs; Increased inventory shrink. [Micro=0.25; Blend=0.25]
Target	TGT	2022	Q3	Ben/DeepSeek	LM	-0.50	SELL		$137.37	$135.61				Tone: cautious. Risks: Softening sales and profit trends that emerged late in the third quarter and persiste; Inflation, rising interest rates and economic uncertainty impacting guests' shopping. [Micro=-0.50; Blend=-0.50]
Target	TGT	2023	Q3	Ben/DeepSeek	LM	0.00	HOLD		$119.00	$116.08				Tone: mixed. Risks: Higher inventory shrink (40 bps headwind to Q3 gross margin rate); Persistent inflation in food and beverage pressuring discretionary spending. [Micro=0.00; Blend=0.00]
Target	TGT	2024	Q3	Ben/DeepSeek	LM	-0.50	SELL		$114.32	$114.67				Tone: mixed. Risks: Higher digital fulfillment and supply chain costs due to managing higher inventory le; Higher SG&A expense rate reflecting higher team member pay and benefits and higher ge. [Micro=-0.50; Blend=-0.50]
Target	TGT	2025	Q3	Ben/DeepSeek	LM	-0.46	SELL		$84.42	$84.49				Tone: cautious. Risks: Continued softness across the broader discretionary portfolio.; Consumer sentiment is at a three-year low amid concerns about jobs, affordability, an. [Micro=-0.50; Blend=-0.46] [news]
Target	TGT	2020	Q4	Ben/DeepSeek	LM	0.00	HOLD		$148.61	$149.90				Tone: confident. Risks: Continued uncertainty due to COVID-19 impacting consumer shopping patterns and the ou; Higher digital fulfillment and supply chain costs partially offset gross margin impro. [Micro=0.00; Blend=0.00]
Target	TGT	2021	Q4	Ben/DeepSeek	LM	0.20	HOLD		$190.69	$192.92				Tone: confident. Risks: Q4 gross margin rate declined to 25.7% from 26.8% in Q4 2020, reflecting pressure fro; First quarter 2022 operating margin rate expected to be well below Q1 2021 rate of 9.. [Micro=0.20; Blend=0.20]
Target	TGT	2022	Q4	Ben/DeepSeek	LM	-0.50	SELL		$149.82	$149.52				Tone: cautious. Risks: Higher clearance and promotional markdown rates; Higher net merchandise and freight costs. [Micro=-0.50; Blend=-0.50]
Target	TGT	2023	Q4	Ben/DeepSeek	LM	0.25	HOLD		$154.91	$158.26				Tone: confident. Risks: Inventory shrink costs increased more than $500 million in 2023 versus 2022, represen; Comparable sales declined 4.4% in Q4 and 3.7% for the full year.. [Micro=0.25; Blend=0.25]
Target	TGT	2024	Q4	Ben/DeepSeek	LM	-0.10	HOLD		$110.96	$110.23				Tone: mixed. Risks: Ongoing consumer uncertainty and declining consumer confidence affecting discretionar; Tariff uncertainty and potential impact on costs and consumer demand.. [Micro=-0.10; Blend=-0.10]
Target	TGT	2025	Q4	Ben/DeepSeek	LM	0.10	HOLD		$119.67	$122.80				Tone: confident. Risks: Full-year net sales decreased 1.7% and comparable sales decreased 2.6%.; Full-year GAAP EPS declined 8.2% and Adjusted EPS declined 14.5%.. [Micro=0.10; Blend=0.10]
