# results_three_sets.csv
# Generated: 2026-08-14
# Three event sets:
#   Set A — N=233 clean phase2 events (268 scored, 35 excluded: 25 worksheet, 1 SPOT, 9 timing)
#   Set B — N=93 extension events (pure eval; scored after Set A; thresholds frozen from Set A dev)
#   Set C — N=326 combined (Set A + Set B); frontier and walk-forward on N=279 (186 Set-A eval + 93 Set B)
# HOLD-excluded (selectivity): denominator = model called BUY/SELL AND |ret_overnight|>2%
# Coverage (HOLD=wrong): denominator = all events with |ret_overnight|>2%, regardless of model call
# HOLD=wrong / coverage (frontier): denominator = all graded events (|ret|>2%) regardless of model call; model HOLD on moved event = wrong
# FLAT-as-wrong (frontier alt): denominator = all events in set (model HOLD always wrong)
# Extension (Set B) is PURE EVAL — no thresholds refitted on it. Phase2 dev thresholds frozen.
#
metric_name,value,unit,n,denominator_definition,event_set,convention,ci_low,ci_high,ci_level,p_value,mde,test_used,threshold_dependent,source_file,notes
# Item E combined (N=326): mean_net 3/4 degenerate; accuracy 1/4 degenerate. item_e_combined_walkforward.json
# Both walk-forwards are RETROSPECTIVE (all events seen before analysis). Not pre-registered.
walkforward_label_A,RETROSPECTIVE — NOT PRE-REGISTERED (N=233),,,,Set A — N=233 walk-forward,,,,,,,,FALSE,item_e_walkforward.json,
walkforward_n_windows_A,4,,,,Set A — N=233 walk-forward,,,,,,,,FALSE,item_e_walkforward.json,
walkforward_mean_net_degenerate_windows_A,3/4,,,,Set A — N=233 walk-forward,mean_net_objective; hu=0.45/hl=−0.50 fitted at N=146/196/230 alike — structurally degenerate,,,,,,,,FALSE,item_e_walkforward.json,Will not become estimable by adding data to this objective
walkforward_mean_net_nondegen_window_A,,,,window_idx=0; test_start=2025-10-09; test_end=2025-12-18,Set A — N=233 walk-forward,Window 0 only; 8 trades; 2/4 graded correct (50%); mean_net=+1.54%,,,,,,,,FALSE,item_e_walkforward.json,Single non-degenerate window — too small to interpret
walkforward_accuracy_degenerate_windows_A,2/4,,,,Set A — N=233 walk-forward,accuracy_objective; sample-limited (improving from N=233 to N=326),,,,,,,,FALSE,item_e_walkforward.json + workbook_metrics.csv,
walkforward_eval_split_accuracy_A,68.0%,percent,75,Traded+graded in latest-80% eval split,Set A — N=233 eval split,"HOLD-excluded, deployed thresholds",,,,0.013,±14.4pp,binomial vs always-DOWN floor 54.6%,TRUE,surviving_findings.md,51/75; not a walk-forward — train/test split with earliest 20% as dev
walkforward_dev_split_accuracy_A,55.0%,percent,20,Traded+graded in earliest-20% dev split,Set A — N=233 dev split,"HOLD-excluded, dev set used for threshold fitting",,,,,,±27.8pp,,TRUE,surviving_findings.md,11/20; not significant — underpowered. Dev used for LM/FinBERT threshold fitting only; model uses deployed thresholds.
walkforward_label_C,RETROSPECTIVE — NOT PRE-REGISTERED (combined N=326),,,,Set C — N=326 combined walk-forward,,,,,,,,FALSE,item_e_combined_walkforward.json,
walkforward_n_windows_C,4,,,,Set C — N=326 combined walk-forward,,,,,,,,FALSE,item_e_combined_walkforward.json,
walkforward_mean_net_degenerate_windows_C,3/4,,,,Set C — N=326 combined walk-forward,mean_net_objective; same degeneracy as N=233 — structurally degenerate,,,,,,,,FALSE,item_e_combined_walkforward.json,
walkforward_mean_net_pooled_oos_trades_C,10,trades,,Window 0 only (non-degenerate),Set C — N=326 combined walk-forward mean_net,,,,,,,,FALSE,item_e_combined_walkforward.json,
walkforward_mean_net_pooled_oos_accuracy_C,66.7%,percent,6,4/6 graded correct in window 0,Set C — N=326 combined walk-forward mean_net,,,,,,,,FALSE,item_e_combined_walkforward.json,
walkforward_mean_net_pooled_oos_mean_net_C,+3.04%,percent,10,,Set C — N=326 combined walk-forward mean_net,,-0.54%,+6.79%,90%,,,bootstrap,FALSE,item_e_combined_walkforward.json,Wide CI; only 10 trades
walkforward_accuracy_degenerate_windows_C,1/4,,,,Set C — N=326 combined walk-forward accuracy_objective,Sample-limited (was 2/4 at N=233 → 1/4 at N=326; improving),,,,,,,,FALSE,item_e_combined_walkforward.json,
walkforward_accuracy_pooled_oos_trades_C,37,trades,,3 non-degenerate windows pooled,Set C — N=326 combined walk-forward accuracy_objective,,,,,,,,FALSE,item_e_combined_walkforward.json,
walkforward_accuracy_pooled_oos_graded_C,25,events,,3 non-degenerate windows pooled,Set C — N=326 combined walk-forward accuracy_objective,,,,,,,,FALSE,item_e_combined_walkforward.json,
walkforward_accuracy_pooled_oos_correct_C,17,events,,3 non-degenerate windows pooled,Set C — N=326 combined walk-forward accuracy_objective,,,,,,,,FALSE,item_e_combined_walkforward.json,
walkforward_accuracy_pooled_oos_accuracy_C,68.0%,percent,25,17/25 graded correct pooled OOS,Set C — N=326 combined walk-forward accuracy_objective,,,,,,,,FALSE,item_e_combined_walkforward.json,
walkforward_accuracy_pooled_oos_mean_net_C,+1.79%,percent,37,,Set C — N=326 combined walk-forward accuracy_objective,+0.12%,+3.49%,90%,,,bootstrap,FALSE,item_e_combined_walkforward.json,"CI just clears zero; directionally consistent with in-sample. Gap vs MDE: +14.6pp observed vs ≈30pp MDE — underpowered. Retrospective; all 326 events seen before analysis."
walkforward_accuracy_pooled_oos_floor_C,53.4%,percent,25,Majority-direction floor in pooled OOS graded events,Set C — N=326 combined walk-forward accuracy_objective,,,,,,,,FALSE,item_e_combined_walkforward.json,
walkforward_accuracy_gap_vs_floor_C,+14.6pp,pp,25,68.0% − 53.4%,Set C — N=326 combined walk-forward accuracy_objective,,,,,,,,FALSE,item_e_combined_walkforward.json,Below MDE ≈30pp (extrapolated from cross-issuer MDE 20.8pp at n_graded=52); underpowered
walkforward_n_extrapolation_note,,,,,,Set C — N=326 combined walk-forward,,,,,,,,FALSE,surviving_findings.md,"N≈400–500 estimated to reach adequate power (extrapolation from 2 data points: n_graded=52 MDE=20.8pp, n_graded=95 MDE=10.8pp); treat as order-of-magnitude, not a precise target"
