# Figure reconciliation audit — 2026-08-13
# Total data rows: 119
# TRUE (matches, including superseded that still match their own stated value): 103
# FALSE (does not match authoritative source): 16
# Status breakdown:
#   current: 97
#   stale: 6
#   superseded: 7 (matches=TRUE because stated value is consistent with the superseded anchor, but now superseded)
#   unreproducible: 2
#   stale+FALSE: 6 (stale figures flagged as must-not-cite)
# Priority: surviving_findings.md figures audited first; then other summary files.
# Authoritative sources: kappa_near_independence.csv, human_vs_llm_statistics.csv,
#   human_vs_llm_direction_decomposition.csv, section_ablation_cost_per_correct.csv,
#   section_ablation_paired_diffs.csv, ext2_holding_curve.csv, item_e_walkforward.json,
#   frontier_table.csv, workbook_metrics.csv, macro_ablation_summary.json,
#   ext9_cost_grid_summary.json, retracted_findings_2026-08-12.md.
# CSV comment header check: section_ablation_paired_diffs.csv and section_ablation_summary.csv
#   both show $0.046/$0.029 in their comment headers (CORRECTED).
#   session_log_2026-08-10_to_12.md still contains old $0.017/$0.027 (stale, see rows 47-48).
#
figure_name,value_as_stated,where_stated,line_reference,authoritative_value,source_file,event_set,n,denominator_definition,convention,matches,status,action_required,notes
baseline_wrong_39pct,~39% majority-class,CLAUDE.md / retracted_findings_2026-08-12.md,section 5,54.7% always-DOWN on graded,baseline_correction_2026-08-13.md,N=95 graded,,wrong comparator (all events including HOLDs),comparator error not anchor artefact,FALSE,superseded,do not cite,The ~39% was always-BUY on all events including HOLDs; wrong denominator. Correct floor: 54.7% (52/95 always-DOWN on graded events). Margin is +10.5pp not +26pp.
deployed_default_accuracy_5day,36.2%,CLAUDE.md,Tier 1 results,98/268=36.57%,global_outcome_calibration_phase2.csv,N=268 pre-exclusion,268,5-day calibration window blend_correct_default,,FALSE,current,rounding note,CSV gives 98/268=0.3657=36.57%. CLAUDE.md rounds to 36.2% which is an aggressive round (actually 36.6%). asserted_figures_audit.md notes this as approximately verified. The discrepancy is rounding only but 36.6% would be more accurate.
n268_correct_flat_wrong,60/84/27 C/F/W,CLAUDE.md,Tier 2 results,60/84/27,backtest_equity.csv,N=268 pre-exclusion,171,trades: Correct/Flat/Wrong,,TRUE,current,none,Verified in asserted_figures_audit.md
n268_avg_net_trade,1.719%,CLAUDE.md,Architecture > Blend historical,1.719%,backtest_equity.csv,N=268 pre-exclusion,171,mean net per trade 10bps cost,,TRUE,current,none,This is for N=268; corrected primary metric is 1.862% (N=233 clean)
unreproducible_0561_0429,0.561/0.429 agreement-conditional accuracy,Model_Arm_Gap_Spec.md,prose,no backing artifact,none,unknown,57,no script CSV or JSON produces these,agreement-conditional LLM accuracy,FALSE,unreproducible,do not cite,git log -S finds only as prose. No script output file or intermediate artifact. Superseded by agreement_filter_corrected.csv (-0.3pp on corrected anchor).
n161_sweep_total_return,+167.66%,CLAUDE.md,Architecture > Blend (historical),+167.66% / +167.96%,phase2_pnl_weight_threshold_sweep.json,N=161 in-sample,99,compounded order-dependent,N=161 in-sample best combo historical,TRUE,current,none,Historical; PSR=0.0 permutation p=0.150; promoted by user decision
n161_psr,PSR=0.0,CLAUDE.md,Architecture > Blend (historical),0.0,phase2_pnl_weight_threshold_sweep.json,N=161,,,Deflated Sharpe Ratio,TRUE,current,none,Verified in asserted_figures_audit.md
n161_permutation_p,p=0.150,CLAUDE.md,Architecture > Blend (historical),0.14977,phase2_pnl_weight_threshold_sweep.json,N=161,,,permutation test,TRUE,current,none,0.14977 rounds to 0.150
n161_loocv_return,+87.82%,CLAUDE.md,Architecture > Blend (historical),87.82%,phase2_pnl_weight_threshold_sweep.json,N=161 LOOCV,95,LOOCV trades,,TRUE,current,none,
dev_eval_eval_accuracy,68.0% (51/75),surviving_findings.md,finding 9,0.680 51/75,frontier_table.csv,eval split 186 events,75,eval traded+graded events on eval split FLAT-excluded,,TRUE,current,none,frontier_table.csv: method = Deployed model eval split. Surviving_findings.md confirms.
dev_eval_dev_accuracy,55.0% (11/20),surviving_findings.md,finding 9,0.550 11/20,frontier_table.csv,dev split 47 events,20,dev traded+graded events FLAT-excluded,,TRUE,current,none,Dev N=20 too small MDE=+-24.1pp
dev_eval_eval_margin,+13.4pp p=0.013,surviving_findings.md,finding 9,+13.4pp p=0.013,frontier_table.csv,eval split,75,eval traded+graded,floor=54.6% (65/119),TRUE,current,none,
rescore_25_changed_calls,12/25 (48%),surviving_findings.md,finding 8,12/25,supplementary_rescore_25.csv,25 contaminated events rescored,25,directional call changes,,TRUE,current,none,
rescore_25_accuracy,66.7% (12/18),surviving_findings.md,finding 8,12/18,supplementary_rescore_25.csv,25 contaminated events rescored,18,graded after rescore HOLD-excluded,,TRUE,current,none,
